Date,Received Quantity,Received Currency,Sent Quantity,Sent Currency,Fee Amount,Fee Currency,Tag
2021-02-04 10:31:47,0.009029,ADA,,,,,
2021-02-04 10:23:55,0.000003,ETH,,,,,
2021-02-04 10:23:12,0.000002,BTC,,,,,
2021-02-04 10:21:35,0.02,USD,,,,,
2021-02-03 10:27:36,0.008894,ADA,,,,,
2021-02-03 10:15:57,0.000003,ETH,,,,,
2021-02-03 10:15:04,0.000001,BTC,,,,,
2021-02-03 10:13:22,0.01,USD,,,,,
2021-02-02 10:44:37,0.009075,ADA,,,,,
2021-02-02 10:37:38,0.000003,ETH,,,,,
2021-02-02 10:37:04,0.000002,BTC,,,,,
2021-02-02 10:35:32,0.01,USD,,,,,
2021-02-02 09:00:26,,,0.040000,BTC,,,
2021-02-02 08:13:17,1.526036,FIL,35.01,USD,,,,
2021-02-01 10:32:51,0.008971,ADA,,,,,
2021-02-01 10:18:35,0.000003,ETH,,,,,
2021-02-01 10:17:45,0.000006,BTC,,,,,
2021-02-01 10:14:22,0.01,USD,,,,,
2021-02-01 01:05:51,,,15.018136,SNX,,,
2021-02-01 01:05:20,102.236129,ADA,35.01,USD,,,,
2021-01-31 10:38:21,0.005925,SNX,,,,,
2021-01-31 10:31:32,0.000003,ETH,,,,,
2021-01-31 10:31:07,0.000006,BTC,,,,,
2021-01-31 10:29:51,0.01,USD,,,,,
2021-01-30 12:39:12,0.003084,BTC,105.04,USD,,,,
2021-01-30 10:51:53,0.006124,SNX,,,,,
2021-01-30 10:46:43,0.000003,ETH,,,,,
2021-01-30 10:46:25,0.000006,BTC,,,,,
2021-01-30 10:45:39,0.02,USD,,,,,
2021-01-29 10:16:59,0.005778,SNX,,,,,
2021-01-29 10:11:48,0.000003,ETH,,,,,
2021-01-29 10:11:24,0.000005,BTC,,,,,
2021-01-29 10:10:43,0.01,USD,,,,,
2021-01-28 11:04:54,0.004451,SNX,,,,,
2021-01-28 10:59:12,0.000002,ETH,,,,,
2021-01-28 10:58:56,0.000004,BTC,,,,,
2021-01-28 10:58:05,0.01,USD,,,,,
2021-01-27 20:39:12,,,1800.340761,GRT,,,
2021-01-27 20:38:24,,,118.970512,XLM,,,
2021-01-27 20:37:54,2.158697,SNX,35.01,USD,,,,
